player_id,player,team,average_z_score,matches_played,primary_position,simplified_position,detailed_position,position_frequency,matches_with_position_data,num_positions_played,all_positions,is_versatile
15290.0,Ashley Elizabeth Marie Lawrence,Canada Women's,0.6049434142757032,3,Left Back,Defender,Fullback/Wing-Back,4/7,3,2,"Left Back, Right Back",True
401932.0,Hinata Miyazawa,Japan Women's,0.6032061145091134,5,Right Attacking Midfield,Midfielder,Attacking Midfielder,2/6,5,3,"Right Attacking Midfield, Left Attacking Midfield, Left Wing",True
25615.0,Flavia Lorena Benítez,Argentina Women's,0.5960068327998326,2,Left Defensive Midfield,Midfielder,Defensive Midfielder,2/2,2,1,Left Defensive Midfield,False
16382.0,Heather Payne,Republic of Ireland Women's,0.5904864907393257,2,Right Wing Back,Defender,Fullback/Wing-Back,2/3,2,2,"Right Wing Back, Right Center Back",True
25541.0,Valentina Giacinti,Italy Women's,0.5838771033961332,3,Center Forward,Forward,Forward,2/4,3,3,"Right Center Forward, Center Forward, Left Center Forward",True
135755.0,Ashleigh Plumptre,Nigeria Women's,0.5829694504909082,4,Left Back,Defender,Fullback/Wing-Back,4/5,4,2,"Left Back, Left Center Back",True
402789.0,Karla Paola Riley Serracín,Panama Women's,0.5792778243264817,2,Center Forward,Forward,Forward,2/2,2,1,Center Forward,False
389489.0,Adriana Leal da Silva,Brazil Women's,0.5777772311624068,3,Left Midfield,Midfielder,Central Midfielder,3/5,3,3,"Left Midfield, Right Midfield, Right Wing Back",True
24461.0,Shuang Wang,China PR Women's,0.5606988796460662,3,Left Midfield,Midfielder,Central Midfielder,2/8,3,5,"Left Midfield, Right Midfield, Center Forward, Left Center Forward, Right Center Forward",True
131583.0,Qiaozhu Chen,China PR Women's,0.556746124413709,3,Left Back,Defender,Fullback/Wing-Back,4/5,3,2,"Left Back, Left Midfield",True
31636.0,Clara Mateo,France Women's,0.5549127155388184,2,Right Midfield,Midfielder,Central Midfielder,2/3,2,2,"Right Midfield, Center Attacking Midfield",True
10386.0,Caroline Graham Hansen,Norway Women's,0.5432267247991569,4,Right Midfield,Midfielder,Central Midfielder,3/6,4,4,"Right Wing, Right Midfield, Left Midfield, Right Center Midfield",True
49945.0,Manuela Vanegas Cataño,Colombia Women's,0.5338982323638616,4,Left Back,Defender,Fullback/Wing-Back,5/6,4,2,"Left Back, Left Center Back",True
34480.0,Katherine Maria Alvarado Aguilar,Costa Rica Women's,0.5326345303904731,3,Left Defensive Midfield,Midfielder,Defensive Midfielder,2/5,3,3,"Left Defensive Midfield, Right Defensive Midfield, Left Center Midfield",True
10404.0,Noelle Maritz,Switzerland Women's,0.5219398934231658,4,Right Center Back,Defender,Fullback/Wing-Back,3/4,4,2,"Right Center Back, Left Back",True
107917.0,Trinity Rain Moyer-Rodman,United States Women's,0.5156356945139546,4,Right Wing,Forward,Winger,5/5,4,1,Right Wing,False
131580.0,Xin Zhang,China PR Women's,0.5152828968935196,2,Right Midfield,Midfielder,Central Midfielder,2/4,2,3,"Center Forward, Left Midfield, Right Midfield",True
49835.0,Teresa Abelleira Dueñas,Spain Women's,0.5142417559026032,7,Center Defensive Midfield,Midfielder,Defensive Midfielder,7/8,7,2,"Center Defensive Midfield, Left Defensive Midfield",True
4951.0,Rebecca Quinn,Canada Women's,0.5139245141349297,3,Right Defensive Midfield,Midfielder,Defensive Midfielder,3/3,3,1,Right Defensive Midfield,False
10395.0,Maren Nævdal Mjelde,Norway Women's,0.508782836006337,4,Right Center Back,Defender,Fullback/Wing-Back,4/4,4,1,Right Center Back,False
389488.0,Ariadina Alves Borges,Brazil Women's,0.5087682311302504,3,Right Midfield,Midfielder,Central Midfielder,3/3,3,1,Right Midfield,False
131579.0,Lina Yang,China PR Women's,0.5079722401112364,3,Left Defensive Midfield,Midfielder,Defensive Midfielder,3/3,3,1,Left Defensive Midfield,False
30969.0,Elisa De Almeida,France Women's,0.5005643013839195,3,Left Center Back,Defender,Fullback/Wing-Back,3/7,3,3,"Left Center Back, Right Back, Right Center Back",True
10088.0,Katrine Veje,Denmark Women's,0.4958660423622625,4,Left Back,Defender,Fullback/Wing-Back,5/7,4,3,"Left Back, Left Wing Back, Left Center Back",True
25770.0,Lisa Boattin,Italy Women's,0.4953046384377975,3,Left Back,Defender,Fullback/Wing-Back,5/6,3,2,"Left Back, Left Center Back",True
25608.0,Jun Endo,Japan Women's,0.4873907090866427,4,Left Wing Back,Defender,Fullback/Wing-Back,4/5,4,2,"Left Wing Back, Left Back",True
10228.0,Manuela Giugliano,Italy Women's,0.4821329343436113,3,Right Defensive Midfield,Midfielder,Defensive Midfielder,2/6,3,5,"Right Defensive Midfield, Left Center Midfield, Left Defensive Midfield, Center Defensive Midfield, Right Center Midfield",True
5078.0,Alanna Stephanie Kennedy,Australia Women's,0.4666044870227088,5,Left Center Back,Defender,Fullback/Wing-Back,6/7,5,2,"Left Center Back, Left Center Forward",True
395287.0,Riley Tanner Rintala,Panama Women's,0.4613809812484075,3,Left Midfield,Midfielder,Central Midfielder,2/6,3,3,"Left Midfield, Center Forward, Left Wing",True
