player_id,player,team,average_z_score,matches_played
131628.0,Hellen Nga''ndwe Chanda,Zambia Women's,-0.15819259340446604,1
402002.0,Betina Petit-Frère,Haiti Women's,-0.15977752860604666,3
219423.0,Naomi Haile Girma,United States Women's,-0.16801441443519366,4
49233.0,Vicki Becho,France Women's,-0.17705735393132738,5
49904.0,Lorena Bedoya Durango,Colombia Women's,-0.1863954466165711,5
10647.0,Stephanie van der Gragt,Netherlands Women's,-0.18832959345470285,5
401924.0,Rion Ishikawa,Japan Women's,-0.1936666733406512,1
31641.0,Elodie Nakkach,Morocco Women's,-0.19935021216644117,4
50151.0,Alba María Redondo Ferrer,Spain Women's,-0.19975500043819588,7
294448.0,María Paula Elizondo,Costa Rica Women's,-0.20025095400179962,2
401740.0,Carleigh Bennett Frilles,Philippines Women's,-0.20319048113730231,1
18145.0,Ria Percival,New Zealand Women's,-0.20558621547796085,3
131625.0,Avell Chitundu,Zambia Women's,-0.20949492384142096,3
25617.0,Miriam Anahí Mayorga,Argentina Women's,-0.22193046707703334,2
8298.0,Megan Anna Rapinoe,United States Women's,-0.2225255733462722,3
66217.0,Indiah-Paige Janita Riley,New Zealand Women's,-0.22462800711854589,3
25516.0,Refiloe Jane,South Africa Women's,-0.22505120266362905,2
25785.0,Jayde Yuk Fun Riviere,Canada Women's,-0.2362547722376176,3
46224.0,Lucia Di Guglielmo,Italy Women's,-0.24386865438131208,3
46847.0,Kethna Louis,Haiti Women's,-0.2453564767992277,3
401635.0,Clare Hunt,Australia Women's,-0.24830568512539303,7
31529.0,Léa Le Garrec,France Women's,-0.2501577087690475,2
32694.0,Laia Codina Panedas,Spain Women's,-0.252482237348944,4
24460.0,Signe Kallesøe Bruun,Denmark Women's,-0.25529453913566896,3
401888.0,Vạn Sự Ngân Thị,Vietnam Women's,-0.2556084462389232,2
403274.0,Ga-Ram Chun,Korea Republic Women's,-0.2586210896587228,1
49889.0,Oihane Hernández Zurbano,Spain Women's,-0.2631184762889149,6
24925.0,Olivia Chance,New Zealand Women's,-0.26385049876365113,2
15570.0,Chloe Kelly,England Women's,-0.27235682171301445,7
25470.0,Osinachi Marvis Ohale,Nigeria Women's,-0.27446144463120975,4
327442.0,Andreia de Jesus Jacinto,Portugal Women's,-0.2747740958563137,3
401731.0,Angela Beard,Philippines Women's,-0.2775900741966558,3
387290.0,Yamila Tamara Rodríguez,Argentina Women's,-0.2788432181067038,3
15249.0,Amel Majri,France Women's,-0.28085537548723727,2
31783.0,Estelle Cascarino,France Women's,-0.2811629040227325,3
25745.0,Sibulele Cecilia Holweni,South Africa Women's,-0.28374603440688856,2
276579.0,Nadine Riesen,Switzerland Women's,-0.2879516513034571,4
26570.0,Amalie Vevle Eikeland,Norway Women's,-0.2898972243696532,1
131653.0,Honoka Hayashi,Japan Women's,-0.2920098245423564,3
401941.0,Siomala Mapepa,Zambia Women's,-0.29596863333590606,3
401804.0,Cristín Yorleny Granados Gómez,Costa Rica Women's,-0.3002857950491261,2
361135.0,Valeria del Campo Gutiérrez,Costa Rica Women's,-0.30653415483965846,2
50146.0,Esther Gonzalez Rodríguez,Spain Women's,-0.3092588257430223,5
32143.0,Diana Catarina Ribeiro Gomes,Portugal Women's,-0.31210811624785445,2
8297.0,Adriana Kristina Leon,Canada Women's,-0.31264964970176495,3
13881.0,Eva Sofia Jakobsson,Sweden Women's,-0.3140298402876824,4
403287.0,Seo-Yeon Shim,Korea Republic Women's,-0.3333083723899634,3
4989.0,Rebekah Ashley Stott,New Zealand Women's,-0.337112653423785,3
15789.0,Rikke Læntver Sevecke,Denmark Women's,-0.34761348553353866,4
10162.0,Carole da Silva Costa,Portugal Women's,-0.34999071961319395,3
10208.0,Elena Linari,Italy Women's,-0.35185005699158917,3
49972.0,Martina Lenzini,Italy Women's,-0.3547365784073479,1
402658.0,Hanane Aït El Haj,Morocco Women's,-0.3570564096358232,4
15564.0,Lucy Quinn,Republic of Ireland Women's,-0.35709323790209885,2
10221.0,Elin Ingrid Johanna Rubensson,Sweden Women's,-0.35937556668348497,7
324160.0,Sofia Nicole Dador Harrison,Philippines Women's,-0.36521927000576077,3
45144.0,Joana Filipa Gaspar Silva Marchão,Portugal Women's,-0.3729196708358491,2
402119.0,Bongeka Gamede,South Africa Women's,-0.39049605381113595,4
25535.0,Tiffany Cameron,Jamaica Women's,-0.39360088396154547,3
402001.0,Dougenie Tabita Kerbie Joseph,Haiti Women's,-0.3942647291349734,3
401737.0,Hali Moriah Candido Long,Philippines Women's,-0.40327668981159254,3
25635.0,Hina Sugita,Japan Women's,-0.4037033991015604,3
19416.0,Laura Coombs,England Women's,-0.4060326083762843,2
34509.0,Hwa-Yeon Son,Korea Republic Women's,-0.40675403809117444,2
276303.0,Thea Bjelde,Norway Women's,-0.4084925199497679,4
5082.0,Marta Vieira da Silva Veiga,Brazil Women's,-0.413085177714055,3
401801.0,Sheika Daleicha Scott Richardson,Costa Rica Women's,-0.41604540336524737,3
15621.0,Louise Quinn,Republic of Ireland Women's,-0.41779874011539714,3
403289.0,Eun-Sun Park,Korea Republic Women's,-0.4212865288409057,3
403286.0,Hyo-Joo Choo,Korea Republic Women's,-0.4219523962780627,3
49888.0,Lady Patricia Andrade Rodríguez,Colombia Women's,-0.4253347455567702,1
402123.0,Gabriela de Jesus Thomas Salgado,South Africa Women's,-0.4261859125877946,1
10392.0,Emilie Haavi,Norway Women's,-0.4279667969218839,4
401738.0,Chandler Blue Isip McDaniel,Philippines Women's,-0.43297750207245567,2
401939.0,Susan Banda,Zambia Women's,-0.4333727610562497,3
32405.0,Rebecka Blomqvist,Sweden Women's,-0.44451395798800464,6
5022.0,Francisca Ordega,Nigeria Women's,-0.44741213378641936,2
402787.0,Erika Janeth Hernández Díaz,Panama Women's,-0.4485146793414104,1
46986.0,Lena Lattwein,Germany Women's,-0.45384990189913343,2
401874.0,Thu Trần Thị,Vietnam Women's,-0.45502145714680003,3
5003.0,Emily Ann Sonnett,United States Women's,-0.45538165565249333,2
41950.0,Evelyne Viens,Canada Women's,-0.4587215898116024,3
45157.0,Laurina Fazer,France Women's,-0.4595726290507833,1
